iter	Passed	Remaining
0	27	27032
1	50	25042
2	80	26651
3	103	25757
4	129	25773
5	154	25579
6	178	25272
7	201	24965
8	226	24913
9	253	25049
10	275	24796
11	298	24610
12	323	24538
13	347	24498
14	370	24346
15	395	24303
16	420	24314
17	446	24336
18	476	24586
19	505	24781
20	545	25451
21	576	25628
22	610	25932
23	633	25772
24	657	25645
25	680	25487
26	702	25318
27	728	25287
28	751	25171
29	776	25109
30	800	25024
31	837	25323
32	863	25299
33	893	25396
34	923	25474
35	952	25501
36	979	25494
37	1001	25345
38	1025	25261
39	1049	25176
40	1075	25166
41	1108	25278
42	1129	25145
43	1152	25034
44	1176	24961
45	1202	24941
46	1226	24876
47	1262	25038
48	1288	25015
49	1317	25024
50	1343	24993
51	1367	24932
52	1391	24863
53	1416	24819
54	1439	24732
55	1463	24673
56	1494	24730
57	1522	24733
58	1546	24672
59	1569	24585
60	1592	24508
61	1616	24448
62	1643	24440
63	1671	24446
64	1695	24382
65	1719	24330
66	1742	24268
67	1765	24196
68	1788	24131
69	1811	24071
70	1834	24005
71	1858	23950
72	1881	23887
73	1904	23831
74	1928	23780
75	1951	23726
76	1974	23668
77	1997	23608
78	2019	23545
79	2041	23480
80	2070	23486
81	2092	23423
82	2115	23374
83	2138	23320
84	2162	23279
85	2185	23222
86	2208	23173
87	2237	23192
88	2261	23148
89	2287	23131
90	2312	23097
91	2337	23066
92	2361	23029
93	2387	23015
94	2421	23065
95	2443	23009
96	2469	22989
97	2492	22943
98	2515	22894
99	2541	22873
100	2563	22821
101	2586	22774
102	2619	22816
103	2649	22827
104	2679	22837
105	2728	23009
106	2758	23018
107	2796	23093
108	2817	23031
109	2839	22971
110	2864	22938
111	2885	22879
112	2907	22825
113	2930	22778
114	2951	22717
115	2978	22701
116	3008	22702
117	3031	22661
118	3055	22624
119	3079	22585
120	3104	22551
121	3127	22508
122	3152	22474
123	3175	22433
124	3199	22397
125	3223	22357
126	3245	22307
127	3273	22301
128	3296	22259
129	3319	22212
130	3343	22176
131	3366	22138
132	3390	22103
133	3416	22078
134	3440	22042
135	3463	22000
136	3487	21965
137	3510	21927
138	3532	21881
139	3556	21846
140	3579	21807
141	3602	21765
142	3624	21724
143	3647	21682
144	3670	21644
145	3698	21632
146	3722	21603
147	3745	21563
